"Cluster","first_region","legend_label","hex"
208,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
209,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
210,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
211,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
212,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
213,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
214,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
215,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
216,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
217,"Amygdala","Amygdala","#E31A1C"
218,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
219,"Amygdala","Amygdala","#E31A1C"
220,"Amygdala","Amygdala","#E31A1C"
221,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
222,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
223,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
224,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
225,"Amygdala","Amygdala","#E31A1C"
226,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
227,"Amygdala","Amygdala","#E31A1C"
228,"Amygdala","Amygdala","#E31A1C"
229,"Amygdala","Amygdala","#E31A1C"
230,"Amygdala","Amygdala","#E31A1C"
231,"Amygdala","Amygdala","#E31A1C"
232,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
233,"Amygdala","Amygdala","#E31A1C"
234,"Amygdala","Amygdala","#E31A1C"
235,"Cerebral Cortex","Cerebral Cortex","#969696"
236,"Hippocampus","Hippocampus","#41AB5D"
237,"Amygdala","Amygdala","#E31A1C"
238,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
239,"Cerebral Cortex","Cerebral Cortex","#969696"
240,"Cerebral Cortex","Cerebral Cortex","#969696"
241,"Cerebral Cortex","Cerebral Cortex","#969696"
242,"Cerebral Cortex","Cerebral Cortex","#969696"
243,"Cerebral Cortex","Cerebral Cortex","#969696"
244,"Cerebral Cortex","Cerebral Cortex","#969696"
245,"Amygdala","Amygdala","#E31A1C"
246,"Hippocampus","Hippocampus","#41AB5D"
247,"Hippocampus","Hippocampus","#41AB5D"
248,"Cerebral Cortex","Cerebral Cortex","#969696"
249,"Cerebral Cortex","Cerebral Cortex","#969696"
250,"Cerebral Cortex","Cerebral Cortex","#969696"
251,"Cerebral Cortex","Cerebral Cortex","#969696"
252,"Cerebral Cortex","Cerebral Cortex","#969696"
253,"Cerebral Cortex","Cerebral Cortex","#969696"
254,"Cerebral Cortex","Cerebral Cortex","#969696"
255,"Cerebral Cortex","Cerebral Cortex","#969696"
256,"Cerebral Cortex","Cerebral Cortex","#969696"
257,"Cerebral Cortex","Cerebral Cortex","#969696"
258,"Cerebral Cortex","Cerebral Cortex","#969696"
259,"Cerebral Cortex","Cerebral Cortex","#969696"
260,"Cerebral Cortex","Cerebral Cortex","#969696"
261,"Cerebral Cortex","Cerebral Cortex","#969696"
262,"Cerebral Cortex","Cerebral Cortex","#969696"
263,"Cerebral Cortex","Cerebral Cortex","#969696"
264,"Cerebral Cortex","Cerebral Cortex","#969696"
265,"Cerebral Cortex","Cerebral Cortex","#969696"
266,"Amygdala","Amygdala","#E31A1C"
267,"Hippocampus","Hippocampus","#41AB5D"
268,"Hippocampus","Hippocampus","#41AB5D"
269,"Cerebral Cortex","Cerebral Cortex","#969696"
270,"Cerebral Cortex","Cerebral Cortex","#969696"
271,"Cerebral Cortex","Cerebral Cortex","#969696"
272,"Cerebral Cortex","Cerebral Cortex","#969696"
273,"Amygdala","Amygdala","#E31A1C"
274,"Cerebral Cortex","Cerebral Cortex","#969696"
275,"Cerebral Cortex","Cerebral Cortex","#969696"
276,"Hippocampus","Hippocampus","#41AB5D"
277,"Cerebral Cortex","Cerebral Cortex","#969696"
278,"Cerebral Cortex","Cerebral Cortex","#969696"
279,"Cerebral Cortex","Cerebral Cortex","#969696"
280,"Cerebral Cortex","Cerebral Cortex","#969696"
281,"Cerebral Cortex","Cerebral Cortex","#969696"
282,"Cerebral Cortex","Cerebral Cortex","#969696"
283,"Cerebral Cortex","Cerebral Cortex","#969696"
284,"Cerebral Cortex","Cerebral Cortex","#969696"
285,"Cerebral Cortex","Cerebral Cortex","#969696"
286,"Cerebral Cortex","Cerebral Cortex","#969696"
287,"Cerebral Cortex","Cerebral Cortex","#969696"
288,"Cerebral Cortex","Cerebral Cortex","#969696"
289,"Cerebral Cortex","Cerebral Cortex","#969696"
290,"Cerebral Cortex","Cerebral Cortex","#969696"
291,"Cerebral Cortex","Cerebral Cortex","#969696"
292,"Cerebral Cortex","Cerebral Cortex","#969696"
293,"Cerebral Cortex","Cerebral Cortex","#969696"
294,"Cerebral Cortex","Cerebral Cortex","#969696"
295,"Cerebral Cortex","Cerebral Cortex","#969696"
296,"Cerebral Cortex","Cerebral Cortex","#969696"
297,"Midbrain","Midbrain","#54278F"
298,"Pons","Pons","#BCBDDC"
299,"Cerebellum","Cerebellum","#807DBA"
300,"Cerebellum","Cerebellum","#807DBA"
301,"Pons","Pons","#BCBDDC"
302,"Cerebellum","Cerebellum","#807DBA"
303,"Cerebellum","Cerebellum","#807DBA"
304,"Cerebellum","Cerebellum","#807DBA"
305,"Cerebellum","Cerebellum","#807DBA"
306,"Cerebellum","Cerebellum","#807DBA"
307,"Cerebellum","Cerebellum","#807DBA"
308,"Cerebellum","Cerebellum","#807DBA"
309,"Pons","Pons","#BCBDDC"
310,"Cerebellum","Cerebellum","#807DBA"
311,"Cerebellum","Cerebellum","#807DBA"
312,"Medulla","Medulla","#E0ECF4"
313,"Hippocampus","Hippocampus","#41AB5D"
314,"Medulla","Medulla","#E0ECF4"
315,"Pons","Pons","#BCBDDC"
316,"Pons","Pons","#BCBDDC"
317,"Pons","Pons","#BCBDDC"
318,"Pons","Pons","#BCBDDC"
319,"Pons","Pons","#BCBDDC"
320,"Pons","Pons","#BCBDDC"
321,"Pons","Pons","#BCBDDC"
322,"Pons","Pons","#BCBDDC"
323,"Hypothalamus","Hypothalamus","#FEE6CE"
324,"Hypothalamus","Hypothalamus","#FEE6CE"
325,"Hypothalamus","Hypothalamus","#FEE6CE"
326,"Hypothalamus","Hypothalamus","#FEE6CE"
327,"Hypothalamus","Hypothalamus","#FEE6CE"
328,"Hypothalamus","Hypothalamus","#FEE6CE"
329,"Hypothalamus","Hypothalamus","#FEE6CE"
330,"Hypothalamus","Hypothalamus","#FEE6CE"
331,"Hypothalamus","Hypothalamus","#FEE6CE"
332,"Hypothalamus","Hypothalamus","#FEE6CE"
333,"Hypothalamus","Hypothalamus","#FEE6CE"
334,"Thalamus","Thalamus","#FDAE6B"
335,"Medulla","Medulla","#E0ECF4"
336,"Midbrain","Midbrain","#54278F"
337,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
338,"Medulla","Medulla","#E0ECF4"
339,"Pons","Pons","#BCBDDC"
340,"Pons","Pons","#BCBDDC"
341,"Pons","Pons","#BCBDDC"
342,"Cerebellum","Cerebellum","#807DBA"
343,"Medulla","Medulla","#E0ECF4"
